학교 id,공급_X,공급_Y,수요지 id,수요_X,수요_Y,위도_범위,경도_범위,공장_개수
F1,126.54392107334832,37.46729212308389,C1,126.3715048,37.4637824,"[37.4637824, 37.46729212308389]","[126.3715048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C2,126.4795048,37.4957824,"[37.46729212308389, 37.4957824]","[126.4795048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C3,126.4815048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4815048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C4,126.4825048,37.4957824,"[37.46729212308389, 37.4957824]","[126.4825048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C5,126.4835048,37.4977824,"[37.46729212308389, 37.4977824]","[126.4835048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C6,126.4835048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4835048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C7,126.4835048,37.5007824,"[37.46729212308389, 37.5007824]","[126.4835048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C8,126.4845048,37.4987824,"[37.46729212308389, 37.4987824]","[126.4845048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C9,126.4845048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4845048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C10,126.4855048,37.4957824,"[37.46729212308389, 37.4957824]","[126.4855048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C11,126.4855048,37.5007824,"[37.46729212308389, 37.5007824]","[126.4855048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C12,126.4855048,37.5017824,"[37.46729212308389, 37.5017824]","[126.4855048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C13,126.4865048,37.4887824,"[37.46729212308389, 37.4887824]","[126.4865048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C14,126.4865048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.4865048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C15,126.4865048,37.4927824,"[37.46729212308389, 37.4927824]","[126.4865048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C16,126.4865048,37.49378239999999,"[37.46729212308389, 37.49378239999999]","[126.4865048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C17,126.4865048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4865048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C18,126.4865048,37.5017824,"[37.46729212308389, 37.5017824]","[126.4865048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C19,126.4875048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4875048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C20,126.4875048,37.5007824,"[37.46729212308389, 37.5007824]","[126.4875048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C21,126.4875048,37.5017824,"[37.46729212308389, 37.5017824]","[126.4875048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C22,126.4875048,37.5027824,"[37.46729212308389, 37.5027824]","[126.4875048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C23,126.4885048,37.4887824,"[37.46729212308389, 37.4887824]","[126.4885048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C24,126.4885048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.4885048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C25,126.4985048,37.4887824,"[37.46729212308389, 37.4887824]","[126.4985048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C26,126.4995048,37.48478239999999,"[37.46729212308389, 37.48478239999999]","[126.4995048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C27,126.4995048,37.48778239999999,"[37.46729212308389, 37.48778239999999]","[126.4995048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C28,126.5015048,37.4827824,"[37.46729212308389, 37.4827824]","[126.5015048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C29,126.5025048,37.4887824,"[37.46729212308389, 37.4887824]","[126.5025048, 126.54392107334832]",1
F1,126.54392107334832,37.46729212308389,C30,126.5035048,37.4807824,"[37.46729212308389, 37.4807824]","[126.5035048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C31,126.5055048,37.5137824,"[37.46729212308389, 37.5137824]","[126.5055048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C32,126.5065048,37.5127824,"[37.46729212308389, 37.5127824]","[126.5065048, 126.54392107334832]",2
