학교 id,공급_X,공급_Y,수요지 id,수요_X,수요_Y,위도_범위,경도_범위,버스정류장_개수
F1,126.54392107334832,37.46729212308389,C1,126.3715048,37.4637824,"[37.4637824, 37.46729212308389]","[126.3715048, 126.54392107334832]",4
F1,126.54392107334832,37.46729212308389,C2,126.4795048,37.4957824,"[37.46729212308389, 37.4957824]","[126.4795048, 126.54392107334832]",88
F1,126.54392107334832,37.46729212308389,C3,126.4815048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4815048, 126.54392107334832]",100
F1,126.54392107334832,37.46729212308389,C4,126.4825048,37.4957824,"[37.46729212308389, 37.4957824]","[126.4825048, 126.54392107334832]",86
F1,126.54392107334832,37.46729212308389,C5,126.4835048,37.4977824,"[37.46729212308389, 37.4977824]","[126.4835048, 126.54392107334832]",88
F1,126.54392107334832,37.46729212308389,C6,126.4835048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4835048, 126.54392107334832]",100
F1,126.54392107334832,37.46729212308389,C7,126.4835048,37.5007824,"[37.46729212308389, 37.5007824]","[126.4835048, 126.54392107334832]",102
F1,126.54392107334832,37.46729212308389,C8,126.4845048,37.4987824,"[37.46729212308389, 37.4987824]","[126.4845048, 126.54392107334832]",97
F1,126.54392107334832,37.46729212308389,C9,126.4845048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4845048, 126.54392107334832]",100
F1,126.54392107334832,37.46729212308389,C10,126.4855048,37.4957824,"[37.46729212308389, 37.4957824]","[126.4855048, 126.54392107334832]",86
F1,126.54392107334832,37.46729212308389,C11,126.4855048,37.5007824,"[37.46729212308389, 37.5007824]","[126.4855048, 126.54392107334832]",102
F1,126.54392107334832,37.46729212308389,C12,126.4855048,37.5017824,"[37.46729212308389, 37.5017824]","[126.4855048, 126.54392107334832]",102
F1,126.54392107334832,37.46729212308389,C13,126.4865048,37.4887824,"[37.46729212308389, 37.4887824]","[126.4865048, 126.54392107334832]",24
F1,126.54392107334832,37.46729212308389,C14,126.4865048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.4865048, 126.54392107334832]",55
F1,126.54392107334832,37.46729212308389,C15,126.4865048,37.4927824,"[37.46729212308389, 37.4927824]","[126.4865048, 126.54392107334832]",61
F1,126.54392107334832,37.46729212308389,C16,126.4865048,37.49378239999999,"[37.46729212308389, 37.49378239999999]","[126.4865048, 126.54392107334832]",70
F1,126.54392107334832,37.46729212308389,C17,126.4865048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4865048, 126.54392107334832]",91
F1,126.54392107334832,37.46729212308389,C18,126.4865048,37.5017824,"[37.46729212308389, 37.5017824]","[126.4865048, 126.54392107334832]",93
F1,126.54392107334832,37.46729212308389,C19,126.4875048,37.4997824,"[37.46729212308389, 37.4997824]","[126.4875048, 126.54392107334832]",83
F1,126.54392107334832,37.46729212308389,C20,126.4875048,37.5007824,"[37.46729212308389, 37.5007824]","[126.4875048, 126.54392107334832]",85
F1,126.54392107334832,37.46729212308389,C21,126.4875048,37.5017824,"[37.46729212308389, 37.5017824]","[126.4875048, 126.54392107334832]",85
F1,126.54392107334832,37.46729212308389,C22,126.4875048,37.5027824,"[37.46729212308389, 37.5027824]","[126.4875048, 126.54392107334832]",85
F1,126.54392107334832,37.46729212308389,C23,126.4885048,37.4887824,"[37.46729212308389, 37.4887824]","[126.4885048, 126.54392107334832]",24
F1,126.54392107334832,37.46729212308389,C24,126.4885048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.4885048, 126.54392107334832]",49
F1,126.54392107334832,37.46729212308389,C25,126.4985048,37.4887824,"[37.46729212308389, 37.4887824]","[126.4985048, 126.54392107334832]",22
F1,126.54392107334832,37.46729212308389,C26,126.4995048,37.48478239999999,"[37.46729212308389, 37.48478239999999]","[126.4995048, 126.54392107334832]",14
F1,126.54392107334832,37.46729212308389,C27,126.4995048,37.48778239999999,"[37.46729212308389, 37.48778239999999]","[126.4995048, 126.54392107334832]",22
F1,126.54392107334832,37.46729212308389,C28,126.5015048,37.4827824,"[37.46729212308389, 37.4827824]","[126.5015048, 126.54392107334832]",6
F1,126.54392107334832,37.46729212308389,C29,126.5025048,37.4887824,"[37.46729212308389, 37.4887824]","[126.5025048, 126.54392107334832]",18
F1,126.54392107334832,37.46729212308389,C30,126.5035048,37.4807824,"[37.46729212308389, 37.4807824]","[126.5035048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C31,126.5055048,37.5137824,"[37.46729212308389, 37.5137824]","[126.5055048, 126.54392107334832]",107
F1,126.54392107334832,37.46729212308389,C32,126.5065048,37.5127824,"[37.46729212308389, 37.5127824]","[126.5065048, 126.54392107334832]",98
F1,126.54392107334832,37.46729212308389,C33,126.5075048,37.47878239999999,"[37.46729212308389, 37.47878239999999]","[126.5075048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C34,126.5075048,37.5137824,"[37.46729212308389, 37.5137824]","[126.5075048, 126.54392107334832]",102
F1,126.54392107334832,37.46729212308389,C35,126.5085048,37.48178239999999,"[37.46729212308389, 37.48178239999999]","[126.5085048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C36,126.5085048,37.4827824,"[37.46729212308389, 37.4827824]","[126.5085048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C37,126.5105048,37.5087824,"[37.46729212308389, 37.5087824]","[126.5105048, 126.54392107334832]",35
F1,126.54392107334832,37.46729212308389,C38,126.5125048,37.5097824,"[37.46729212308389, 37.5097824]","[126.5125048, 126.54392107334832]",34
F1,126.54392107334832,37.46729212308389,C39,126.5135048,37.4777824,"[37.46729212308389, 37.4777824]","[126.5135048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C40,126.5145048,37.5107824,"[37.46729212308389, 37.5107824]","[126.5145048, 126.54392107334832]",39
F1,126.54392107334832,37.46729212308389,C41,126.5145048,37.5127824,"[37.46729212308389, 37.5127824]","[126.5145048, 126.54392107334832]",64
F1,126.54392107334832,37.46729212308389,C42,126.5145048,37.5137824,"[37.46729212308389, 37.5137824]","[126.5145048, 126.54392107334832]",68
F1,126.54392107334832,37.46729212308389,C43,126.5145048,37.5147824,"[37.46729212308389, 37.5147824]","[126.5145048, 126.54392107334832]",69
F1,126.54392107334832,37.46729212308389,C44,126.5165048,37.5107824,"[37.46729212308389, 37.5107824]","[126.5165048, 126.54392107334832]",36
F1,126.54392107334832,37.46729212308389,C45,126.5215048,37.5087824,"[37.46729212308389, 37.5087824]","[126.5215048, 126.54392107334832]",29
F1,126.54392107334832,37.46729212308389,C46,126.5255048,37.5097824,"[37.46729212308389, 37.5097824]","[126.5255048, 126.54392107334832]",28
F1,126.54392107334832,37.46729212308389,C47,126.5295048,37.5077824,"[37.46729212308389, 37.5077824]","[126.5295048, 126.54392107334832]",26
F1,126.54392107334832,37.46729212308389,C48,126.5315048,37.4887824,"[37.46729212308389, 37.4887824]","[126.5315048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C49,126.5325048,37.5067824,"[37.46729212308389, 37.5067824]","[126.5325048, 126.54392107334832]",20
F1,126.54392107334832,37.46729212308389,C50,126.5325048,37.5087824,"[37.46729212308389, 37.5087824]","[126.5325048, 126.54392107334832]",20
F1,126.54392107334832,37.46729212308389,C51,126.5335048,37.5047824,"[37.46729212308389, 37.5047824]","[126.5335048, 126.54392107334832]",14
F1,126.54392107334832,37.46729212308389,C52,126.5335048,37.5057824,"[37.46729212308389, 37.5057824]","[126.5335048, 126.54392107334832]",14
F1,126.54392107334832,37.46729212308389,C53,126.5345048,37.5047824,"[37.46729212308389, 37.5047824]","[126.5345048, 126.54392107334832]",12
F1,126.54392107334832,37.46729212308389,C54,126.5355048,37.48778239999999,"[37.46729212308389, 37.48778239999999]","[126.5355048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C55,126.5365048,37.4957824,"[37.46729212308389, 37.4957824]","[126.5365048, 126.54392107334832]",4
F1,126.54392107334832,37.46729212308389,C56,126.5375048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.5375048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C57,126.5375048,37.4957824,"[37.46729212308389, 37.4957824]","[126.5375048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C58,126.5385048,37.4957824,"[37.46729212308389, 37.4957824]","[126.5385048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C59,126.5395048,37.49378239999999,"[37.46729212308389, 37.49378239999999]","[126.5395048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C60,126.5395048,37.4957824,"[37.46729212308389, 37.4957824]","[126.5395048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C61,126.5395048,37.5147824,"[37.46729212308389, 37.5147824]","[126.5395048, 126.54392107334832]",8
F1,126.54392107334832,37.46729212308389,C62,126.5415048,37.5097824,"[37.46729212308389, 37.5097824]","[126.5415048, 126.54392107334832]",2
F1,126.54392107334832,37.46729212308389,C63,126.5435048,37.4947824,"[37.46729212308389, 37.4947824]","[126.5435048, 126.54392107334832]",0
F1,126.54392107334832,37.46729212308389,C64,126.5445048,37.4927824,"[37.46729212308389, 37.4927824]","[126.54392107334832, 126.5445048]",0
F1,126.54392107334832,37.46729212308389,C65,126.5445048,37.49378239999999,"[37.46729212308389, 37.49378239999999]","[126.54392107334832, 126.5445048]",0
F1,126.54392107334832,37.46729212308389,C66,126.5465048,37.4957824,"[37.46729212308389, 37.4957824]","[126.54392107334832, 126.5465048]",2
F1,126.54392107334832,37.46729212308389,C67,126.5475048,37.4977824,"[37.46729212308389, 37.4977824]","[126.54392107334832, 126.5475048]",2
F1,126.54392107334832,37.46729212308389,C68,126.5485048,37.4867824,"[37.46729212308389, 37.4867824]","[126.54392107334832, 126.5485048]",0
F1,126.54392107334832,37.46729212308389,C69,126.5485048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.54392107334832, 126.5485048]",0
F1,126.54392107334832,37.46729212308389,C70,126.5485048,37.4947824,"[37.46729212308389, 37.4947824]","[126.54392107334832, 126.5485048]",2
F1,126.54392107334832,37.46729212308389,C71,126.5485048,37.4987824,"[37.46729212308389, 37.4987824]","[126.54392107334832, 126.5485048]",3
F1,126.54392107334832,37.46729212308389,C72,126.5495048,37.4957824,"[37.46729212308389, 37.4957824]","[126.54392107334832, 126.5495048]",4
F1,126.54392107334832,37.46729212308389,C73,126.5495048,37.4967824,"[37.46729212308389, 37.4967824]","[126.54392107334832, 126.5495048]",4
F1,126.54392107334832,37.46729212308389,C74,126.5505048,37.4967824,"[37.46729212308389, 37.4967824]","[126.54392107334832, 126.5505048]",6
F1,126.54392107334832,37.46729212308389,C75,126.5515048,37.48478239999999,"[37.46729212308389, 37.48478239999999]","[126.54392107334832, 126.5515048]",0
F1,126.54392107334832,37.46729212308389,C76,126.5515048,37.4927824,"[37.46729212308389, 37.4927824]","[126.54392107334832, 126.5515048]",2
F1,126.54392107334832,37.46729212308389,C77,126.5535048,37.48478239999999,"[37.46729212308389, 37.48478239999999]","[126.54392107334832, 126.5535048]",1
F1,126.54392107334832,37.46729212308389,C78,126.5545048,37.4867824,"[37.46729212308389, 37.4867824]","[126.54392107334832, 126.5545048]",1
F1,126.54392107334832,37.46729212308389,C79,126.5545048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.54392107334832, 126.5545048]",5
F1,126.54392107334832,37.46729212308389,C80,126.5555048,37.5007824,"[37.46729212308389, 37.5007824]","[126.54392107334832, 126.5555048]",23
F1,126.54392107334832,37.46729212308389,C81,126.5555048,37.5037824,"[37.46729212308389, 37.5037824]","[126.54392107334832, 126.5555048]",23
F1,126.54392107334832,37.46729212308389,C82,126.5565048,37.4857824,"[37.46729212308389, 37.4857824]","[126.54392107334832, 126.5565048]",1
F1,126.54392107334832,37.46729212308389,C83,126.5565048,37.4927824,"[37.46729212308389, 37.4927824]","[126.54392107334832, 126.5565048]",16
F1,126.54392107334832,37.46729212308389,C84,126.5585048,37.49078239999999,"[37.46729212308389, 37.49078239999999]","[126.54392107334832, 126.5585048]",9
F1,126.54392107334832,37.46729212308389,C85,126.5595048,37.48478239999999,"[37.46729212308389, 37.48478239999999]","[126.54392107334832, 126.5595048]",1
F1,126.54392107334832,37.46729212308389,C86,126.5605048,37.4927824,"[37.46729212308389, 37.4927824]","[126.54392107334832, 126.5605048]",23
F1,126.54392107334832,37.46729212308389,C87,126.5635048,37.4917824,"[37.46729212308389, 37.4917824]","[126.54392107334832, 126.5635048]",33
F1,126.54392107334832,37.46729212308389,C88,126.5635048,37.5007824,"[37.46729212308389, 37.5007824]","[126.54392107334832, 126.5635048]",48
F1,126.54392107334832,37.46729212308389,C89,126.5655048,37.4897824,"[37.46729212308389, 37.4897824]","[126.54392107334832, 126.5655048]",13
F1,126.54392107334832,37.46729212308389,C90,126.5675048,37.4927824,"[37.46729212308389, 37.4927824]","[126.54392107334832, 126.5675048]",39
F1,126.54392107334832,37.46729212308389,C91,126.5675048,37.4947824,"[37.46729212308389, 37.4947824]","[126.54392107334832, 126.5675048]",41
F1,126.54392107334832,37.46729212308389,C92,126.5685048,37.5017824,"[37.46729212308389, 37.5017824]","[126.54392107334832, 126.5685048]",52
F1,126.54392107334832,37.46729212308389,C93,126.5705048,37.4947824,"[37.46729212308389, 37.4947824]","[126.54392107334832, 126.5705048]",41
F1,126.54392107334832,37.46729212308389,C94,126.5975048,37.4727824,"[37.46729212308389, 37.4727824]","[126.54392107334832, 126.5975048]",2
F1,126.54392107334832,37.46729212308389,C95,126.5985048,37.4737824,"[37.46729212308389, 37.4737824]","[126.54392107334832, 126.5985048]",6
F1,126.54392107334832,37.46729212308389,C96,126.5985048,37.4757824,"[37.46729212308389, 37.4757824]","[126.54392107334832, 126.5985048]",6
F1,126.54392107334832,37.46729212308389,C97,126.5995048,37.4737824,"[37.46729212308389, 37.4737824]","[126.54392107334832, 126.5995048]",6
F1,126.54392107334832,37.46729212308389,C98,126.5995048,37.4767824,"[37.46729212308389, 37.4767824]","[126.54392107334832, 126.5995048]",6
F1,126.54392107334832,37.46729212308389,C99,126.6015048,37.4767824,"[37.46729212308389, 37.4767824]","[126.54392107334832, 126.6015048]",9
F1,126.54392107334832,37.46729212308389,C100,126.6025048,37.4517824,"[37.4517824, 37.46729212308389]","[126.54392107334832, 126.6025048]",8
