,경도,위도,도로명주소
90,37.4721867,126.6234909,인천광역시 중구 신포로27번길 33
91,37.4749868,126.6179741,인천광역시 중구 차이나타운로52번길 11
92,37.4660214,126.6357054,인천광역시 중구 서해대로454번길 10-1
93,37.4737716,126.5970602,인천광역시 중구 월미문화로 51
94,37.4720952,126.6241075,인천광역시 중구 신포로27번길 24
95,37.4658186,126.6357691,인천광역시 중구 도원로7번길 16
96,37.4722030,126.6234073,인천광역시 중구 신포로27번길 33-1
97,37.4713168,126.6236611,인천광역시 중구 개항로 7-2 옛고을
98,37.4992803,126.5544362,인천광역시 중구 운중로 212
99,37.4713301,126.6248744,인천광역시 중구 신포로 25-1
100,37.4944445,126.4910496,인천광역시 중구 신도시남로150번길 4 스카이프라자
101,37.4746303,126.6290862,인천광역시 중구 우현로67번길 33
102,37.4710263,126.6239604,인천광역시 중구 신포로 19-9
103,37.4548796,126.6025869,인천광역시 중구 연안부두로33번길 4
104,37.4671166,126.6356518,인천광역시 중구 서해대로 462-2
105,37.4548356,126.6056089,인천광역시 중구 축항대로86번길 22 한성빌딩
106,37.4738712,126.5973072,인천광역시 중구 월미문화로 49
107,37.4722713,126.6254915,인천광역시 중구 신포로35번길 6
108,37.4405294,126.4575405,인천광역시 중구 영종해안남로321번길 208 그랜드하얏트인천 이스트타워
109,37.4719899,126.6245523,인천광역시 중구 신포로27번길 16 화로참숯불구이
110,37.4738394,126.6308335,인천광역시 중구 우현로90번길 20
111,37.4707945,126.6251250,인천광역시 중구 우현로35번길 23
112,37.4714190,126.6244591,"인천광역시 중구 개항로 14 장모족발,그린손해보험"
113,37.4712345,126.6256144,인천광역시 중구 우현로39번길 22-1
114,37.4718192,126.6247014,인천광역시 중구 개항로 19
115,37.4705605,126.6247377,인천광역시 중구 제물량로166번길 1-21
116,37.4714313,126.6237664,"인천광역시 중구 개항로 9-1 앤드,7080,마당"
117,37.4724714,126.6229112,인천광역시 중구 신포로27번길 45
118,37.4744788,126.6310275,인천광역시 중구 우현로90번길 1-4
119,37.4944692,126.4908280,인천광역시 중구 신도시남로150번길 2 영종상가
120,37.4750325,126.6293000,인천광역시 중구 우현로87번길 25
121,37.4892266,126.5621830,인천광역시 중구 하늘중앙로195번길 23 하늘프라자
122,37.4944524,126.4912716,인천광역시 중구 신도시남로150번길 6 덕양프라자
123,37.4747910,126.6293995,인천광역시 중구 우현로83번길 18-1
124,37.4940245,126.4926506,인천광역시 중구 신도시남로142번길 17
125,37.4712789,126.6233280,인천광역시 중구 신포로15번길 22-1
126,37.4747910,126.6293995,인천광역시 중구 우현로83번길 18-1
127,37.4539613,126.6048119,인천광역시 중구 연안부두로33번길 26
128,37.4720826,126.6318336,"인천광역시 중구 개항로 83 신토불이,보보야"
129,37.4750673,126.5999371,인천광역시 중구 월미로233번길 3
130,37.4742166,126.6318569,"인천광역시 중구 큰우물로 28-6 제주연탄고기,이복치과기공소"
131,37.4915191,126.5825190,인천광역시 중구 은하수로 1 오션뷰
132,37.4927516,126.4890688,인천광역시 중구 흰바위로 37 영종프라자
133,37.4720813,126.6253669,인천광역시 중구 신포로35번길 3
134,37.4737889,126.6316679,인천광역시 중구 큰우물로 22
135,37.4924870,126.5774617,인천광역시 중구 은하수로 42
136,37.4540034,126.6047028,인천광역시 중구 연안부두로33번길 24
137,37.4915558,126.5809214,인천광역시 중구 은하수로29번길 47
138,37.4562974,126.6044875,인천광역시 중구 연안부두로 13
139,37.4937237,126.4890550,인천광역시 중구 신도시남로141번길 9 골드프라자
140,37.4923116,126.5790395,인천광역시 중구 은하수로 28
141,37.4738052,126.6454665,인천광역시 동구 금곡로 91-1
142,37.4752678,126.6443250,인천광역시 동구 샛골로 143
143,37.4781704,126.6324998,인천광역시 동구 수문통로 17
144,37.4754634,126.6443235,인천광역시 동구 샛골로 147
145,37.4775712,126.6454797,인천광역시 동구 샛골로 170
146,37.4781450,126.6319910,인천광역시 동구 화도진로 68
147,37.4764853,126.6450334,인천광역시 동구 샛골로 158-2
148,37.4752678,126.6443250,인천광역시 동구 샛골로 143
149,37.4770534,126.6333302,인천광역시 동구 송현로 1 송현프라자
