time,people
2015,6731
2016,6694
2017,6692
2018,7104
2019,7143
2020,7214
2021,7436
2022,7572
2023,7557
2024,7429
2025,7454
2026,7484
2027,7484
2028,7521
2029,7606
2030,7809
2031,8014
2032,8215
2033,8409
2034,8590
2035,8564
